//  MINLP written by GAMS Convert at 04/07/20 12:05:45
//  
//  Equation counts
//      Total        E        G        L        N        X        C        B
//        766      221       63      482        0        0        0        0
//  
//  Variable counts
//                   x        b        i      s1s      s2s       sc       si
//      Total     cont   binary  integer     sos1     sos2    scont     sint
//        570      510       60        0        0        0        0        0
//  FX      0        0        0        0        0        0        0        0
//  
//  Nonzero counts
//      Total    const       NL      DLL
//       2265     1965      300        0
//
// Reformulation has removed 1 variable and 1 equation
//

OPTIONS{
EpsA: 1e-9;
EpsR: 1e-5;
MaxIter: 1000000;
MaxTime: 3600;
Threads: 1;
GamsCntr: "/home/bernalde/Repositories/conic_disjunctive/225k/gamscntr.dat";
TimName: "/home/bernalde/Repositories/conic_disjunctive/225k/tim.dat";
ResName: "/home/bernalde/Repositories/conic_disjunctive/225k/res.dat";
SumName: "/home/bernalde/Repositories/conic_disjunctive/225k/sum.dat";
OptName: "/home/bernalde/Repositories/conic_disjunctive/225k/opt.dat";
cplexlibname: "/home/bernalde/gams/gams28.2_linux_x64_64_sfx/libcplex.so";
xprslibname: "/home/bernalde/gams/gams28.2_linux_x64_64_sfx/libxprs.so";
}

BINARY_VARIABLES  b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b15,b16,b17,b18
          ,b19,b20,b21,b22,b23,b24,b25,b26,b27,b28,b29,b30,b31,b32,b33,b34,b35
          ,b36,b37,b38,b39,b40,b41,b42,b43,b44,b45,b46,b47,b48,b49,b50,b51,b52
          ,b53,b54,b55,b56,b57,b58,b59,b60,b61;

VARIABLES  x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78
          ,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95
          ,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109
          ,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122
e45: (b45 + x554)^2 - (4*(x220^2 + x221^2 + x222^2) + (b45 - x554)^2) >= 0;

e46: (b46 + x555)^2 - (4*(x223^2 + x224^2 + x225^2) + (b46 - x555)^2) >= 0;

e47: (b47 + x556)^2 - (4*(x226^2 + x227^2 + x228^2) + (b47 - x556)^2) >= 0;

e48: (b48 + x557)^2 - (4*(x229^2 + x230^2 + x231^2) + (b48 - x557)^2) >= 0;

e49: (b49 + x558)^2 - (4*(x232^2 + x233^2 + x234^2) + (b49 - x558)^2) >= 0;

e50: (b50 + x559)^2 - (4*(x235^2 + x236^2 + x237^2) + (b50 - x559)^2) >= 0;

e51: (b51 + x560)^2 - (4*(x238^2 + x239^2 + x240^2) + (b51 - x560)^2) >= 0;

e52: (b52 + x561)^2 - (4*(x241^2 + x242^2 + x243^2) + (b52 - x561)^2) >= 0;

e53: (b53 + x562)^2 - (4*(x244^2 + x245^2 + x246^2) + (b53 - x562)^2) >= 0;

e54: (b54 + x563)^2 - (4*(x247^2 + x248^2 + x249^2) + (b54 - x563)^2) >= 0;

e55: (b55 + x564)^2 - (4*(x250^2 + x251^2 + x252^2) + (b55 - x564)^2) >= 0;

e56: (b56 + x565)^2 - (4*(x253^2 + x254^2 + x255^2) + (b56 - x565)^2) >= 0;

e57: (b57 + x566)^2 - (4*(x256^2 + x257^2 + x258^2) + (b57 - x566)^2) >= 0;

e58: (b58 + x567)^2 - (4*(x259^2 + x260^2 + x261^2) + (b58 - x567)^2) >= 0;

e59: (b59 + x568)^2 - (4*(x262^2 + x263^2 + x264^2) + (b59 - x568)^2) >= 0;

e60: (b60 + x569)^2 - (4*(x265^2 + x266^2 + x267^2) + (b60 - x569)^2) >= 0;

e61: (b61 + x570)^2 - (4*(x268^2 + x269^2 + x270^2) + (b61 - x570)^2) >= 0;

e62:    b2 + b3 + b4 == 1;

e63:    b5 + b6 + b7 == 1;

e64:    b8 + b9 + b10 == 1;

e65:    b11 + b12 + b13 == 1;

e66:    b14 + b15 + b16 == 1;

e67:    b17 + b18 + b19 == 1;

e68:    b20 + b21 + b22 == 1;

e69:    b23 + b24 + b25 == 1;

e70:    b26 + b27 + b28 == 1;

e71:    b29 + b30 + b31 == 1;

e72:    b32 + b33 + b34 == 1;

e73:    b35 + b36 + b37 == 1;

e74:    b38 + b39 + b40 == 1;

e75:    b41 + b42 + b43 == 1;

e76:    b44 + b45 + b46 == 1;

e77:    b47 + b48 + b49 == 1;

e78:    b50 + b51 + b52 == 1;

e79:    b53 + b54 + b55 == 1;

e80:    b56 + b57 + b58 == 1;

e81:    b59 + b60 + b61 == 1;

e82:  - x82 + x91 + x271 == 0;

e83:  - x83 + x92 + x272 == 0;

e84:  - x84 + x93 + x273 == 0;

e85:  - x85 + x94 + x274 == 0;

e86:  - x86 + x95 + x275 == 0;

e87:  - x87 + x96 + x276 == 0;

e88:  - x88 + x97 + x277 == 0;

e89:  - x89 + x98 + x278 == 0;

e90:  - x90 + x99 + x279 == 0;

e91:  - x82 + x100 + x280 == 0;

e92:  - x83 + x101 + x281 == 0;

e93:  - x84 + x102 + x282 == 0;

e94:  - x85 + x103 + x283 == 0;

e95:  - x86 + x104 + x284 == 0;

e96:  - x87 + x105 + x285 == 0;

e97:  - x88 + x106 + x286 == 0;

e98:  - x89 + x107 + x287 == 0;

e99:  - x90 + x108 + x288 == 0;

e100:  - x82 + x109 + x289 == 0;

e101:  - x83 + x110 + x290 == 0;

e102:  - x84 + x111 + x291 == 0;

e103:  - x85 + x112 + x292 == 0;

e104:  - x86 + x113 + x293 == 0;

e105:  - x87 + x114 + x294 == 0;

e106:  - x88 + x115 + x295 == 0;

e107:  - x89 + x116 + x296 == 0;

e108:  - x90 + x117 + x297 == 0;

e109:  - x82 + x118 + x298 == 0;

e110:  - x83 + x119 + x299 == 0;

e111:  - x84 + x120 + x300 == 0;

e112:  - x85 + x121 + x301 == 0;

e113:  - x86 + x122 + x302 == 0;

e114:  - x87 + x123 + x303 == 0;

e115:  - x88 + x124 + x304 == 0;

e116:  - x89 + x125 + x305 == 0;

e117:  - x90 + x126 + x306 == 0;

e118:  - x82 + x127 + x307 == 0;

e119:  - x83 + x128 + x308 == 0;

e120:  - x84 + x129 + x309 == 0;

e121:  - x85 + x130 + x310 == 0;

e122:  - x86 + x131 + x311 == 0;

e123:  - x87 + x132 + x312 == 0;

e124:  - x88 + x133 + x313 == 0;

e125:  - x89 + x134 + x314 == 0;

e126:  - x90 + x135 + x315 == 0;

e127:  - x82 + x136 + x316 == 0;

e128:  - x83 + x137 + x317 == 0;

e129:  - x84 + x138 + x318 == 0;

e130:  - x85 + x139 + x319 == 0;

e131:  - x86 + x140 + x320 == 0;

e132:  - x87 + x141 + x321 == 0;

e133:  - x88 + x142 + x322 == 0;

e134:  - x89 + x143 + x323 == 0;

e135:  - x90 + x144 + x324 == 0;

e136:  - x82 + x145 + x325 == 0;

e137:  - x83 + x146 + x326 == 0;

e138:  - x84 + x147 + x327 == 0;

e139:  - x85 + x148 + x328 == 0;

e140:  - x86 + x149 + x329 == 0;

e141:  - x87 + x150 + x330 == 0;

e142:  - x88 + x151 + x331 == 0;

e143:  - x89 + x152 + x332 == 0;

e144:  - x90 + x153 + x333 == 0;

e145:  - x82 + x154 + x334 == 0;

e146:  - x83 + x155 + x335 == 0;

e147:  - x84 + x156 + x336 == 0;

e148:  - x85 + x157 + x337 == 0;

e149:  - x86 + x158 + x338 == 0;

e150:  - x87 + x159 + x339 == 0;

e151:  - x88 + x160 + x340 == 0;

e152:  - x89 + x161 + x341 == 0;

e153:  - x90 + x162 + x342 == 0;

e154:  - x82 + x163 + x343 == 0;

e155:  - x83 + x164 + x344 == 0;

e156:  - x84 + x165 + x345 == 0;

e157:  - x85 + x166 + x346 == 0;

e158:  - x86 + x167 + x347 == 0;

e159:  - x87 + x168 + x348 == 0;

e160:  - x88 + x169 + x349 == 0;

e161:  - x89 + x170 + x350 == 0;

e162:  - x90 + x171 + x351 == 0;

e163:  - x82 + x172 + x352 == 0;

e164:  - x83 + x173 + x353 == 0;

e165:  - x84 + x174 + x354 == 0;

e166:  - x85 + x175 + x355 == 0;

e167:  - x86 + x176 + x356 == 0;

e168:  - x87 + x177 + x357 == 0;

e169:  - x88 + x178 + x358 == 0;

e170:  - x89 + x179 + x359 == 0;

e171:  - x90 + x180 + x360 == 0;

e172:  - x82 + x181 + x361 == 0;

e173:  - x83 + x182 + x362 == 0;

e174:  - x84 + x183 + x363 == 0;

e175:  - x85 + x184 + x364 == 0;

e176:  - x86 + x185 + x365 == 0;

e177:  - x87 + x186 + x366 == 0;

e178:  - x88 + x187 + x367 == 0;

e179:  - x89 + x188 + x368 == 0;

e180:  - x90 + x189 + x369 == 0;

e181:  - x82 + x190 + x370 == 0;

e182:  - x83 + x191 + x371 == 0;

e183:  - x84 + x192 + x372 == 0;

e184:  - x85 + x193 + x373 == 0;

e185:  - x86 + x194 + x374 == 0;

e186:  - x87 + x195 + x375 == 0;

e187:  - x88 + x196 + x376 == 0;

e188:  - x89 + x197 + x377 == 0;

e189:  - x90 + x198 + x378 == 0;

e190:  - x82 + x199 + x379 == 0;

e191:  - x83 + x200 + x380 == 0;

e192:  - x84 + x201 + x381 == 0;

e193:  - x85 + x202 + x382 == 0;

e194:  - x86 + x203 + x383 == 0;

e195:  - x87 + x204 + x384 == 0;

e196:  - x88 + x205 + x385 == 0;

e197:  - x89 + x206 + x386 == 0;

e198:  - x90 + x207 + x387 == 0;

e199:  - x82 + x208 + x388 == 0;

e200:  - x83 + x209 + x389 == 0;

e201:  - x84 + x210 + x390 == 0;

e202:  - x85 + x211 + x391 == 0;

e203:  - x86 + x212 + x392 == 0;

e204:  - x87 + x213 + x393 == 0;

e205:  - x88 + x214 + x394 == 0;

e206:  - x89 + x215 + x395 == 0;

e207:  - x90 + x216 + x396 == 0;

e208:  - x82 + x217 + x397 == 0;

e209:  - x83 + x218 + x398 == 0;

e210:  - x84 + x219 + x399 == 0;

e211:  - x85 + x220 + x400 == 0;

e212:  - x86 + x221 + x401 == 0;

e213:  - x87 + x222 + x402 == 0;

e214:  - x88 + x223 + x403 == 0;

e215:  - x89 + x224 + x404 == 0;

e216:  - x90 + x225 + x405 == 0;

e217:  - x82 + x226 + x406 == 0;

e218:  - x83 + x227 + x407 == 0;

e219:  - x84 + x228 + x408 == 0;

e220:  - x85 + x229 + x409 == 0;

e221:  - x86 + x230 + x410 == 0;

e222:  - x87 + x231 + x411 == 0;

e223:  - x88 + x232 + x412 == 0;

e224:  - x89 + x233 + x413 == 0;

e225:  - x90 + x234 + x414 == 0;

e226:  - x82 + x235 + x415 == 0;

e227:  - x83 + x236 + x416 == 0;

e228:  - x84 + x237 + x417 == 0;

e229:  - x85 + x238 + x418 == 0;

e230:  - x86 + x239 + x419 == 0;

e231:  - x87 + x240 + x420 == 0;

e232:  - x88 + x241 + x421 == 0;

e233:  - x89 + x242 + x422 == 0;

e234:  - x90 + x243 + x423 == 0;

e235:  - x82 + x244 + x424 == 0;

e236:  - x83 + x245 + x425 == 0;

e237:  - x84 + x246 + x426 == 0;

e238:  - x85 + x247 + x427 == 0;

e239:  - x86 + x248 + x428 == 0;

e240:  - x87 + x249 + x429 == 0;

e241:  - x88 + x250 + x430 == 0;

e242:  - x89 + x251 + x431 == 0;

e243:  - x90 + x252 + x432 == 0;

e244:  - x82 + x253 + x433 == 0;

e245:  - x83 + x254 + x434 == 0;

e246:  - x84 + x255 + x435 == 0;

e247:  - x85 + x256 + x436 == 0;

e248:  - x86 + x257 + x437 == 0;

e249:  - x87 + x258 + x438 == 0;

e250:  - x88 + x259 + x439 == 0;

e251:  - x89 + x260 + x440 == 0;

e252:  - x90 + x261 + x441 == 0;

e253:  - x82 + x262 + x442 == 0;

e254:  - x83 + x263 + x443 == 0;

e255:  - x84 + x264 + x444 == 0;

e256:  - x85 + x265 + x445 == 0;

e257:  - x86 + x266 + x446 == 0;

e258:  - x87 + x267 + x447 == 0;

e259:  - x88 + x268 + x448 == 0;

e260:  - x89 + x269 + x449 == 0;

e261:  - x90 + x270 + x450 == 0;

e262:  - x62 + x451 + x452 + x453 == 0;

e263:  - x63 + x454 + x455 + x456 == 0;

e264:  - x64 + x457 + x458 + x459 == 0;

e265:  - x65 + x460 + x461 + x462 == 0;

e266:  - x66 + x463 + x464 + x465 == 0;

e267:  - x67 + x466 + x467 + x468 == 0;

e268:  - x68 + x469 + x470 + x471 == 0;

e269:  - x69 + x472 + x473 + x474 == 0;

e270:  - x70 + x475 + x476 + x477 == 0;

e271:  - x71 + x478 + x479 + x480 == 0;

e272:  - x72 + x481 + x482 + x483 == 0;

e273:  - x73 + x484 + x485 + x486 == 0;

e274:  - x74 + x487 + x488 + x489 == 0;

e275:  - x75 + x490 + x491 + x492 == 0;

e276:  - x76 + x493 + x494 + x495 == 0;

e277:  - x77 + x496 + x497 + x498 == 0;

e278:  - x78 + x499 + x500 + x501 == 0;

e279:  - x79 + x502 + x503 + x504 == 0;

e280:  - x80 + x505 + x506 + x507 == 0;

e281:  - x81 + x508 + x509 + x510 == 0;

e282:    b2 + x271 <= 1;

e283:    b2 + x272 <= 1;

e284:    b2 + x273 <= 1;

e285:    b3 + x274 <= 1;

e286:    b3 + x275 <= 1;

e287:    b3 + x276 <= 1;

e288:    b4 + x277 <= 1;

e289:    b4 + x278 <= 1;

e290:    b4 + x279 <= 1;

e291:    b5 + x280 <= 1;

e292:    b5 + x281 <= 1;

e293:    b5 + x282 <= 1;

e294:    b6 + x283 <= 1;

e295:    b6 + x284 <= 1;

e296:    b6 + x285 <= 1;

e297:    b7 + x286 <= 1;

e298:    b7 + x287 <= 1;

e299:    b7 + x288 <= 1;

e300:    b8 + x289 <= 1;

e301:    b8 + x290 <= 1;

e302:    b8 + x291 <= 1;

e303:    b9 + x292 <= 1;

e304:    b9 + x293 <= 1;

e305:    b9 + x294 <= 1;

e306:    b10 + x295 <= 1;

e307:    b10 + x296 <= 1;

e308:    b10 + x297 <= 1;

e309:    b11 + x298 <= 1;

e310:    b11 + x299 <= 1;

e311:    b11 + x300 <= 1;

e312:    b12 + x301 <= 1;

e313:    b12 + x302 <= 1;

e314:    b12 + x303 <= 1;

e315:    b13 + x304 <= 1;

e316:    b13 + x305 <= 1;

e317:    b13 + x306 <= 1;

e318:    b14 + x307 <= 1;

e319:    b14 + x308 <= 1;

e320:    b14 + x309 <= 1;

e321:    b15 + x310 <= 1;

e322:    b15 + x311 <= 1;

e323:    b15 + x312 <= 1;

e324:    b16 + x313 <= 1;

e325:    b16 + x314 <= 1;

e326:    b16 + x315 <= 1;

e327:    b17 + x316 <= 1;

e328:    b17 + x317 <= 1;

e329:    b17 + x318 <= 1;

e330:    b18 + x319 <= 1;

e331:    b18 + x320 <= 1;

e332:    b18 + x321 <= 1;

e333:    b19 + x322 <= 1;

e334:    b19 + x323 <= 1;

e335:    b19 + x324 <= 1;

e336:    b20 + x325 <= 1;

e337:    b20 + x326 <= 1;

e338:    b20 + x327 <= 1;

e339:    b21 + x328 <= 1;

e340:    b21 + x329 <= 1;

e341:    b21 + x330 <= 1;

e342:    b22 + x331 <= 1;

e343:    b22 + x332 <= 1;

e344:    b22 + x333 <= 1;

e345:    b23 + x334 <= 1;

e346:    b23 + x335 <= 1;

e347:    b23 + x336 <= 1;

e348:    b24 + x337 <= 1;

e349:    b24 + x338 <= 1;

e350:    b24 + x339 <= 1;

e351:    b25 + x340 <= 1;

e352:    b25 + x341 <= 1;

e353:    b25 + x342 <= 1;

e354:    b26 + x343 <= 1;

e355:    b26 + x344 <= 1;

e356:    b26 + x345 <= 1;

e357:    b27 + x346 <= 1;

e358:    b27 + x347 <= 1;

e359:    b27 + x348 <= 1;

e360:    b28 + x349 <= 1;

e361:    b28 + x350 <= 1;

e362:    b28 + x351 <= 1;

e363:    b29 + x352 <= 1;

e364:    b29 + x353 <= 1;

e365:    b29 + x354 <= 1;

e366:    b30 + x355 <= 1;

e367:    b30 + x356 <= 1;

e368:    b30 + x357 <= 1;

e369:    b31 + x358 <= 1;

e370:    b31 + x359 <= 1;

e371:    b31 + x360 <= 1;

e372:    b32 + x361 <= 1;

e373:    b32 + x362 <= 1;

e374:    b32 + x363 <= 1;

e375:    b33 + x364 <= 1;

e376:    b33 + x365 <= 1;

e377:    b33 + x366 <= 1;

e378:    b34 + x367 <= 1;

e379:    b34 + x368 <= 1;

e380:    b34 + x369 <= 1;

e381:    b35 + x370 <= 1;

e382:    b35 + x371 <= 1;

e383:    b35 + x372 <= 1;

e384:    b36 + x373 <= 1;

e385:    b36 + x374 <= 1;

e386:    b36 + x375 <= 1;

e387:    b37 + x376 <= 1;

e388:    b37 + x377 <= 1;

e389:    b37 + x378 <= 1;

e390:    b38 + x379 <= 1;

e391:    b38 + x380 <= 1;

e392:    b38 + x381 <= 1;

e393:    b39 + x382 <= 1;

e394:    b39 + x383 <= 1;

e395:    b39 + x384 <= 1;

e396:    b40 + x385 <= 1;

e397:    b40 + x386 <= 1;

e398:    b40 + x387 <= 1;

e399:    b41 + x388 <= 1;

e400:    b41 + x389 <= 1;

e401:    b41 + x390 <= 1;

e402:    b42 + x391 <= 1;

e403:    b42 + x392 <= 1;

e404:    b42 + x393 <= 1;

e405:    b43 + x394 <= 1;

e406:    b43 + x395 <= 1;

e407:    b43 + x396 <= 1;

e408:    b44 + x397 <= 1;

e409:    b44 + x398 <= 1;

e410:    b44 + x399 <= 1;

e411:    b45 + x400 <= 1;

e412:    b45 + x401 <= 1;

e413:    b45 + x402 <= 1;

e414:    b46 + x403 <= 1;

e415:    b46 + x404 <= 1;

e416:    b46 + x405 <= 1;

e417:    b47 + x406 <= 1;

e418:    b47 + x407 <= 1;

e419:    b47 + x408 <= 1;

e420:    b48 + x409 <= 1;

e421:    b48 + x410 <= 1;

e422:    b48 + x411 <= 1;

e423:    b49 + x412 <= 1;

e424:    b49 + x413 <= 1;

e425:    b49 + x414 <= 1;

e426:    b50 + x415 <= 1;

e427:    b50 + x416 <= 1;

e428:    b50 + x417 <= 1;

e429:    b51 + x418 <= 1;

e430:    b51 + x419 <= 1;

e431:    b51 + x420 <= 1;

e432:    b52 + x421 <= 1;

e433:    b52 + x422 <= 1;

e434:    b52 + x423 <= 1;

e435:    b53 + x424 <= 1;

e436:    b53 + x425 <= 1;

e437:    b53 + x426 <= 1;

e438:    b54 + x427 <= 1;

e439:    b54 + x428 <= 1;

e440:    b54 + x429 <= 1;

e441:    b55 + x430 <= 1;

e442:    b55 + x431 <= 1;

e443:    b55 + x432 <= 1;

e444:    b56 + x433 <= 1;

e445:    b56 + x434 <= 1;

e446:    b56 + x435 <= 1;

e447:    b57 + x436 <= 1;

e448:    b57 + x437 <= 1;

e449:    b57 + x438 <= 1;

e450:    b58 + x439 <= 1;

e451:    b58 + x440 <= 1;

e452:    b58 + x441 <= 1;

e453:    b59 + x442 <= 1;

e454:    b59 + x443 <= 1;

e455:    b59 + x444 <= 1;

e456:    b60 + x445 <= 1;

e457:    b60 + x446 <= 1;

e458:    b60 + x447 <= 1;

e459:    b61 + x448 <= 1;

e460:    b61 + x449 <= 1;

e461:    b61 + x450 <= 1;

e462:  - b2 + x91 <= 0;

e463:  - b2 + x92 <= 0;

e464:  - b2 + x93 <= 0;

e465:  - b3 + x94 <= 0;

e466:  - b3 + x95 <= 0;

e467:  - b3 + x96 <= 0;

e468:  - b4 + x97 <= 0;

e469:  - b4 + x98 <= 0;

e470:  - b4 + x99 <= 0;

e471:  - b5 + x100 <= 0;

e472:  - b5 + x101 <= 0;

e473:  - b5 + x102 <= 0;

e474:  - b6 + x103 <= 0;

e475:  - b6 + x104 <= 0;

e476:  - b6 + x105 <= 0;

e477:  - b7 + x106 <= 0;

e478:  - b7 + x107 <= 0;

e479:  - b7 + x108 <= 0;

e480:  - b8 + x109 <= 0;

e481:  - b8 + x110 <= 0;

e482:  - b8 + x111 <= 0;

e483:  - b9 + x112 <= 0;

e484:  - b9 + x113 <= 0;

e485:  - b9 + x114 <= 0;

e486:  - b10 + x115 <= 0;

e487:  - b10 + x116 <= 0;

e488:  - b10 + x117 <= 0;

e489:  - b11 + x118 <= 0;

e490:  - b11 + x119 <= 0;

e491:  - b11 + x120 <= 0;

e492:  - b12 + x121 <= 0;

e493:  - b12 + x122 <= 0;

e494:  - b12 + x123 <= 0;

e495:  - b13 + x124 <= 0;

e496:  - b13 + x125 <= 0;

e497:  - b13 + x126 <= 0;

e498:  - b14 + x127 <= 0;

e499:  - b14 + x128 <= 0;

e500:  - b14 + x129 <= 0;

e501:  - b15 + x130 <= 0;

e502:  - b15 + x131 <= 0;

e503:  - b15 + x132 <= 0;

e504:  - b16 + x133 <= 0;

e505:  - b16 + x134 <= 0;

e506:  - b16 + x135 <= 0;

e507:  - b17 + x136 <= 0;

e508:  - b17 + x137 <= 0;

e509:  - b17 + x138 <= 0;

e510:  - b18 + x139 <= 0;

e511:  - b18 + x140 <= 0;

e512:  - b18 + x141 <= 0;

e513:  - b19 + x142 <= 0;

e514:  - b19 + x143 <= 0;

e515:  - b19 + x144 <= 0;

e516:  - b20 + x145 <= 0;

e517:  - b20 + x146 <= 0;

e518:  - b20 + x147 <= 0;

e519:  - b21 + x148 <= 0;

e520:  - b21 + x149 <= 0;

e521:  - b21 + x150 <= 0;

e522:  - b22 + x151 <= 0;

e523:  - b22 + x152 <= 0;

e524:  - b22 + x153 <= 0;

e525:  - b23 + x154 <= 0;

e526:  - b23 + x155 <= 0;

e527:  - b23 + x156 <= 0;

e528:  - b24 + x157 <= 0;

e529:  - b24 + x158 <= 0;

e530:  - b24 + x159 <= 0;

e531:  - b25 + x160 <= 0;

e532:  - b25 + x161 <= 0;

e533:  - b25 + x162 <= 0;

e534:  - b26 + x163 <= 0;

e535:  - b26 + x164 <= 0;

e536:  - b26 + x165 <= 0;

e537:  - b27 + x166 <= 0;

e538:  - b27 + x167 <= 0;

e539:  - b27 + x168 <= 0;

e540:  - b28 + x169 <= 0;

e541:  - b28 + x170 <= 0;

e542:  - b28 + x171 <= 0;

e543:  - b29 + x172 <= 0;

e544:  - b29 + x173 <= 0;

e545:  - b29 + x174 <= 0;

e546:  - b30 + x175 <= 0;

e547:  - b30 + x176 <= 0;

e548:  - b30 + x177 <= 0;

e549:  - b31 + x178 <= 0;

e550:  - b31 + x179 <= 0;

e551:  - b31 + x180 <= 0;

e552:  - b32 + x181 <= 0;

e553:  - b32 + x182 <= 0;

e554:  - b32 + x183 <= 0;

e555:  - b33 + x184 <= 0;

e556:  - b33 + x185 <= 0;

e557:  - b33 + x186 <= 0;

e558:  - b34 + x187 <= 0;

e559:  - b34 + x188 <= 0;

e560:  - b34 + x189 <= 0;

e561:  - b35 + x190 <= 0;

e562:  - b35 + x191 <= 0;

e563:  - b35 + x192 <= 0;

e564:  - b36 + x193 <= 0;

e565:  - b36 + x194 <= 0;

e566:  - b36 + x195 <= 0;

e567:  - b37 + x196 <= 0;

e568:  - b37 + x197 <= 0;

e569:  - b37 + x198 <= 0;

e570:  - b38 + x199 <= 0;

e571:  - b38 + x200 <= 0;

e572:  - b38 + x201 <= 0;

e573:  - b39 + x202 <= 0;

e574:  - b39 + x203 <= 0;

e575:  - b39 + x204 <= 0;

e576:  - b40 + x205 <= 0;

e577:  - b40 + x206 <= 0;

e578:  - b40 + x207 <= 0;

e579:  - b41 + x208 <= 0;

e580:  - b41 + x209 <= 0;

e581:  - b41 + x210 <= 0;

e582:  - b42 + x211 <= 0;

e583:  - b42 + x212 <= 0;

e584:  - b42 + x213 <= 0;

e585:  - b43 + x214 <= 0;

e586:  - b43 + x215 <= 0;

e587:  - b43 + x216 <= 0;

e588:  - b44 + x217 <= 0;

e589:  - b44 + x218 <= 0;

e590:  - b44 + x219 <= 0;

e591:  - b45 + x220 <= 0;

e592:  - b45 + x221 <= 0;

e593:  - b45 + x222 <= 0;

e594:  - b46 + x223 <= 0;

e595:  - b46 + x224 <= 0;

e596:  - b46 + x225 <= 0;

e597:  - b47 + x226 <= 0;

e598:  - b47 + x227 <= 0;

e599:  - b47 + x228 <= 0;

e600:  - b48 + x229 <= 0;

e601:  - b48 + x230 <= 0;

e602:  - b48 + x231 <= 0;

e603:  - b49 + x232 <= 0;

e604:  - b49 + x233 <= 0;

e605:  - b49 + x234 <= 0;

e606:  - b50 + x235 <= 0;

e607:  - b50 + x236 <= 0;

e608:  - b50 + x237 <= 0;

e609:  - b51 + x238 <= 0;

e610:  - b51 + x239 <= 0;

e611:  - b51 + x240 <= 0;

e612:  - b52 + x241 <= 0;

e613:  - b52 + x242 <= 0;

e614:  - b52 + x243 <= 0;

e615:  - b53 + x244 <= 0;

e616:  - b53 + x245 <= 0;

e617:  - b53 + x246 <= 0;

e618:  - b54 + x247 <= 0;

e619:  - b54 + x248 <= 0;

e620:  - b54 + x249 <= 0;

e621:  - b55 + x250 <= 0;

e622:  - b55 + x251 <= 0;

e623:  - b55 + x252 <= 0;

e624:  - b56 + x253 <= 0;

e625:  - b56 + x254 <= 0;

e626:  - b56 + x255 <= 0;

e627:  - b57 + x256 <= 0;

e628:  - b57 + x257 <= 0;

e629:  - b57 + x258 <= 0;

e630:  - b58 + x259 <= 0;

e631:  - b58 + x260 <= 0;

e632:  - b58 + x261 <= 0;

e633:  - b59 + x262 <= 0;

e634:  - b59 + x263 <= 0;

e635:  - b59 + x264 <= 0;

e636:  - b60 + x265 <= 0;

e637:  - b60 + x266 <= 0;

e638:  - b60 + x267 <= 0;

e639:  - b61 + x268 <= 0;

e640:  - b61 + x269 <= 0;

e641:  - b61 + x270 <= 0;

e642:  - 1.73205080756888*b2 + x451 <= 0;

e643:  - 1.73205080756888*b3 + x452 <= 0;

e644:  - 1.73205080756888*b4 + x453 <= 0;

e645:  - 1.73205080756888*b5 + x454 <= 0;

e646:  - 1.73205080756888*b6 + x455 <= 0;

e647:  - 1.73205080756888*b7 + x456 <= 0;

e648:  - 1.73205080756888*b8 + x457 <= 0;

e649:  - 1.73205080756888*b9 + x458 <= 0;

e650:  - 1.73205080756888*b10 + x459 <= 0;

e651:  - 1.73205080756888*b11 + x460 <= 0;

e652:  - 1.73205080756888*b12 + x461 <= 0;

e653:  - 1.73205080756888*b13 + x462 <= 0;

e654:  - 1.73205080756888*b14 + x463 <= 0;

e655:  - 1.73205080756888*b15 + x464 <= 0;

e656:  - 1.73205080756888*b16 + x465 <= 0;

e657:  - 1.73205080756888*b17 + x466 <= 0;

e658:  - 1.73205080756888*b18 + x467 <= 0;

e659:  - 1.73205080756888*b19 + x468 <= 0;

